(	)
⸣	⸢
⸤	⸥
⸥	⸤
⸦	⸧
⸧	⸦
⸨	⸩
⸩	⸨
〈	〉
〉	〈
《	》
》	《
「	」
」	「
『	』
』	『
【	】
】	【
〔	〕
〕	〔
〖	〗
〗	〖
〘	〙
〙	〘
〚	〛
〛	〚
﹙	﹚
﹚	﹙
﹛	﹜
﹜	﹛
﹝	﹞
﹞	﹝
﹤	﹥
﹥	﹤
（	）
）	（
＜	＞
＞	＜
［	］
］	［
｛	｝
｝	｛
｟	｠
｠	｟
｢	｣
｣	｢
￩	￫
￪	￬
￫	￩
￬	￪
